date	n	repeat	F1_score_test	coefs[0]	coefs[1]	coefs[2]	intercept	threshold
2019_07_25	5	0	0.5325631585629047	-0.0028087077662348747	0.0037141258362680674	-0.0009395250235684216	-0.018452458083629608	0.057752133497085544
2019_07_25	5	1	0.5447688488010308	-0.0011425656266510487	0.0015279508661478758	-0.00044596337829716504	-0.004536549095064402	0.025417400515892134
2019_07_25	5	2	0.5596503734928556	-0.002280500717461109	0.002937550889328122	-0.0006852312362752855	-0.012570880353450775	0.04569041867873619
2019_07_25	5	3	0.5514164482715587	-0.003107780357822776	0.0039360495284199715	-0.0008030057651922107	-0.019876917824149132	0.059756899865473875
2019_07_25	5	4	0.5344707300057081	-0.001211437745951116	0.0016641707625240088	-0.000514852930791676	-0.0062965634278953075	0.027095847136968273
2019_07_25	6	0	0.5482103153477594	-0.0038989007007330656	0.005171575117856264	-0.001315857982262969	-0.026390861719846725	0.07865517493444325
2019_07_25	6	1	0.6542436049466374	-0.003411024808883667	0.004522975999861956	-0.0012166467495262623	-0.018089167773723602	0.06434556938151503
2019_07_25	6	2	0.5927752879959093	-0.0022808669600635767	0.003035744186490774	-0.000796306470874697	-0.0143814692273736	0.04488108108763018
2019_07_25	6	3	0.5311129473082057	-0.002878282219171524	0.0038260044530034065	-0.000985985854640603	-0.019114427268505096	0.05956627743882616
2019_07_25	6	4	0.5438034188034188	-0.0030004610307514668	0.0039163921028375626	-0.0009134492138400674	-0.020948216319084167	0.0592367268029267
2019_07_25	7	0	0.7236453966775346	-0.003040881361812353	0.0039015247020870447	-0.0009755630744621158	-0.010719050653278828	0.05326766013798317
2019_07_25	7	1	0.6490122615803816	-0.0030384596902877092	0.0039656683802604675	-0.001013082219287753	-0.014815645292401314	0.05736038825588153
2019_07_25	7	2	0.6199777764781566	-0.003938477486371994	0.0051348451524972916	-0.0012526459759101272	-0.023039545863866806	0.07428135950945418
2019_07_25	7	3	0.5351880604581893	-0.0032316783908754587	0.004316193982958794	-0.0011495795333757997	-0.020569223910570145	0.06752637919566222
2019_07_25	7	4	0.5814151229881567	-0.004178635776042938	0.005435628816485405	-0.0012636834289878607	-0.028041988611221313	0.07958647856971793
2019_07_25	8	0	0.6602519146071197	-0.0038212896324694157	0.005103224888443947	-0.0013976407935842872	-0.021374711766839027	0.0715431814317602
2019_07_25	8	1	0.586860429912201	-0.002919726772233844	0.003884304780513048	-0.0010609569726511836	-0.015321685001254082	0.059709244258811946
2019_07_25	8	2	0.5775730583856994	-0.003458188148215413	0.004556204192340374	-0.0011607948690652847	-0.020527364686131477	0.06899966439144802
2019_07_25	8	3	0.6704133329642037	-0.0036706053651869297	0.0047528487630188465	-0.0011430883314460516	-0.019884470850229263	0.06560561593054236
2019_07_25	8	4	0.5820668693009118	-0.0035792323760688305	0.004848053678870201	-0.0013559533981606364	-0.02364346943795681	0.07203427649702213
2019_07_25	9	0	0.6585626052779338	-0.004478898365050554	0.005826691165566444	-0.0014017920475453138	-0.026541797444224358	0.08035744935885035
2019_07_25	9	1	0.6094133656776026	-0.004136611707508564	0.00543763255700469	-0.0013699716655537486	-0.024740222841501236	0.07948389785707276
2019_07_25	9	2	0.70042689434365	-0.004413081333041191	0.005721766501665115	-0.0013982183299958706	-0.02289533242583275	0.07650178769104143
2019_07_25	9	3	0.5902469917669411	-0.004178238101303577	0.005668578203767538	-0.0015935009578242898	-0.027893532067537308	0.08326201819878769
2019_07_25	9	4	0.6471859010801592	-0.004605124704539776	0.006048939190804958	-0.0015329031739383936	-0.026529837399721146	0.08520943629475235
2019_07_25	10	0	0.7067201658119204	-0.0034530223347246647	0.004771328531205654	-0.001458099577575922	-0.02155262976884842	0.062108986756991544
2019_07_25	10	1	0.6515919060421678	-0.004015750251710415	0.005370877683162689	-0.0014477483928203583	-0.024981683120131493	0.07445017343813798
2019_07_25	10	2	0.6789933512830375	-0.004363929852843285	0.005862605292350054	-0.001672851969487965	-0.022336699068546295	0.08170149901114615
2019_07_25	10	3	0.5949693840797214	-0.004395380616188049	0.005890974309295416	-0.0015836048405617476	-0.02855285443365574	0.0864000187391538
2019_07_25	10	4	0.6920874966243586	-0.004769205581396818	0.0062638032250106335	-0.0016060300404205918	-0.025987882167100906	0.08435163537483759
2019_07_25	11	0	0.5988872936109116	-0.0046602883376181126	0.006284379865974188	-0.00174664705991745	-0.029370471835136414	0.09243128000940189
2019_07_25	11	1	0.7296154929938264	-0.005903615616261959	0.007697184570133686	-0.0019036795711144805	-0.032614316791296005	0.09712333796023502
2019_07_25	11	2	0.5692510986140561	-0.004538699984550476	0.005931952968239784	-0.0014482118422165513	-0.02774348296225071	0.08995318846298149
2019_07_25	11	3	0.6553901668921966	-0.004182181786745787	0.005493779666721821	-0.0014005489647388458	-0.023438304662704468	0.07712050285549972
2019_07_25	11	4	0.6268708666898712	-0.007291627116501331	0.00936900544911623	-0.0020901248790323734	-0.0453634038567543	0.13215263202319455
2019_07_25	12	0	0.7039944462245007	-0.004045953042805195	0.005619871895760298	-0.0017885096604004502	-0.02235446684062481	0.07546144156594708
2019_07_25	12	1	0.6655713052438107	-0.005196735728532076	0.006770811043679714	-0.0016706009628251195	-0.028824422508478165	0.09373736672079751
2019_07_25	12	2	0.7077004498544588	-0.005730562377721071	0.007678292691707611	-0.0020921530667692423	-0.03496861830353737	0.0992807638143709
2019_07_25	12	3	0.6559783984473885	-0.006725624203681946	0.008673049509525299	-0.0019666918087750673	-0.042184535413980484	0.11821134776921279
2019_07_25	12	4	0.6963265087074356	-0.005237877368927002	0.0068532428704202175	-0.0016961849760264158	-0.03085777908563614	0.09008727033935235
2019_07_25	13	0	0.7133392922866607	-0.004280762281268835	0.005720974877476692	-0.0015811922494322062	-0.02328578010201454	0.07505919593683452
2019_07_25	13	1	0.68575624082232	-0.005947362631559372	0.007836517877876759	-0.0019998480565845966	-0.03532937169075012	0.10455518943305578
2019_07_25	13	2	0.6507450847073488	-0.005329817533493042	0.0071099260821938515	-0.0018937988206744194	-0.03322777897119522	0.09857804554664414
2019_07_25	13	3	0.6977904108119704	-0.005945355165749788	0.0078274579718709	-0.0020778232719749212	-0.028993209823966026	0.10664072801612537
